"habitat","position","substrate","shade","fishNotes","habitatExtra","substrateExtra","signal","lon","lat","trackedTime","shift","river","tagID","source"
"Run","Center",NA,"Fully shaded","","","Rock",NA,-72.4601985,42.3812093333333,"2024-07-02 08:39:00","day","HARRIS",20,"iPad"
"Run","Left",NA,"Mostly shaded","","","Rock",NA,-72.4630873333333,42.3798015,"2024-07-02 08:51:00","day","AMETHYST",61,"iPad"
"Pool","Center",NA,"Lightly shaded","","","Rock,Pebble",NA,-72.4597268333333,42.3809185,"2024-07-02 13:10:00","night","BUFFAM",57,"iPad"
"Pool","Right",NA,"Fully shaded","","","Rock,Boulder",NA,-72.459764,42.3810825,"2024-07-02 13:15:00","night","BUFFAM",62,"iPad"
"Run","Center",NA,"Fully shaded","","","Boulder",NA,-72.458517,42.3821031666667,"2024-07-02 13:21:00","night","BUFFAM",60,"iPad"
"Pool","Right",NA,"Fully shaded","","","Boulder",NA,-72.459822,42.3813043333333,"2024-07-02 13:46:00","night","BUFFAM",18,"iPad"
"Pool","Center",NA,"Fully shaded","","","Boulder,Sand",NA,-72.4597898333333,42.381269,"2024-07-02 13:47:00","night","BUFFAM",19,"iPad"
"Run","Center",NA,"Fully shaded","","","Boulder,Sand",NA,-72.4600011666667,42.3812956666667,"2024-07-02 13:54:00","night","BUFFAM",14,"iPad"
"Pool","Left",NA,"Mostly shaded","","","Mud,Rock",NA,-72.4602683333333,42.3812716666667,"2024-07-02 14:01:00","night","BUFFAM",56,"iPad"
"Glide","Right",NA,"Fully shaded","","","Rock",NA,-72.4603643333333,42.3811838333333,"2024-07-02 14:04:00","night","HARRIS",20,"iPad"
"Riffle","Center",NA,"Mostly shaded","","","Boulder",NA,-72.4630896666667,42.3797025,"2024-07-02 14:27:00","night","AMETHYST",61,"iPad"
"Pool","Center",NA,"Fully shaded","","","Boulder",NA,-72.4584916666667,42.3820936666667,"2024-07-02 14:45:00","night","BUFFAM",60,"iPad"
"Pool","Center",NA,"Fully shaded","","","Rock,Boulder",NA,-72.4597191666667,42.3811645,"2024-07-02 14:51:00","night","BUFFAM",57,"iPad"
"Riffle","Center",NA,"Mostly shaded","","","Rock,Pebble",NA,-72.4597811666667,42.3812475,"2024-07-02 14:51:00","night","BUFFAM",62,"iPad"
"Pool","Right",NA,"Fully shaded","","","Boulder,Rock",NA,-72.4599666666667,42.381247,"2024-07-02 14:54:00","night","BUFFAM",18,"iPad"
"Pool","Right",NA,"Fully shaded","","","Rock,Boulder",NA,-72.4600251666667,42.3811971666667,"2024-07-02 14:55:00","night","BUFFAM",19,"iPad"
"Riffle","Center",NA,"Mostly shaded","","","Rock",NA,-72.4600705,42.3811805,"2024-07-02 14:55:00","night","BUFFAM",14,"iPad"
"Riffle","Left",NA,"Mostly shaded","","Woody_debris","Boulder",NA,-72.4603261666667,42.3813418333333,"2024-07-02 14:57:00","night","BUFFAM",56,"iPad"
"Riffle","Right",NA,"Mostly shaded","","","Pebble,Rock",NA,-72.46025,42.3813311666667,"2024-07-02 15:00:00","night","HARRIS",20,"iPad"
"Run","Center",NA,"Mostly shaded","","Woody_debris","Pebble,Rock",NA,-72.4584525,42.3821268333333,"2024-07-02 16:06:00","night","BUFFAM",60,"iPad"
