"habitat","position","substrate","shade","fishNotes","habitatExtra","substrateExtra","signal","lon","lat","dateTime","shift","river","tagID","source"
"Pool","Right",NA,"Fully shaded","","","Sand,Boulder",NA,-72.4598786666667,42.3812691666667,"2024-07-11 17:42:00","night","AMETHYST",19,"iPad"
"Pool","Center",NA,"Fully shaded","","","Rock,Boulder",NA,-72.4599526666667,42.3812611666667,"2024-07-11 17:43:00","night","AMETHYST",18,"iPad"
"Riffle","Center",NA,"Fully shaded","","","Rock,Boulder",NA,-72.460032,42.3812821666667,"2024-07-11 17:44:00","night","AMETHYST",14,"iPad"
"Glide","Left",NA,"Fully shaded","","","Boulder",NA,-72.4602256666667,42.3812171666667,"2024-07-11 17:47:00","night","AMETHYST",20,"iPad"
"Pool","Left",NA,"Fully shaded","","","Sand,Boulder",NA,-72.458446,42.3821656666667,"2024-07-11 18:27:00","night","AMETHYST",60,"iPad"
"Pool","Right",NA,"Fully shaded","","","Boulder,Pebble",NA,-72.4599265,42.381274,"2024-07-11 18:35:00","night","AMETHYST",19,"iPad"
"Pool","Right",NA,"Fully shaded","","","Boulder",NA,-72.4599218333333,42.3812581666667,"2024-07-11 18:36:00","night","AMETHYST",18,"iPad"
"Riffle","Center",NA,"Fully shaded","","","Rock,Boulder",NA,-72.4599511666667,42.3812801666667,"2024-07-11 18:37:00","night","AMETHYST",14,"iPad"
"Glide","Left",NA,"","","","Boulder",NA,-72.460272,42.3811526666667,"2024-07-11 18:39:00","night","AMETHYST",20,"iPad"
"Pool","Center",NA,"Fully shaded","","","Sand,Boulder",NA,-72.4596028333333,42.3812081666667,"2024-07-11 18:43:00","night","AMETHYST",57,"iPad"
"Pool","Center",NA,"Fully shaded","","","Sand,Boulder",NA,-72.4596133333333,42.3811526666667,"2024-07-11 18:43:00","night","AMETHYST",56,"iPad"
"Pool","Right",NA,"Fully shaded","","","Sand,Rock,Boulder",NA,-72.4596908333333,42.3810983333333,"2024-07-11 18:44:00","night","AMETHYST",62,"iPad"
"Pool","Center",NA,"Night","","","Rock,Boulder",NA,-72.4584955,42.3821423333333,"2024-07-11 19:12:00","night","AMETHYST",60,"iPad"
"Run","Right",NA,"Night","","","Sand,Rock",NA,-72.4596761666667,42.3810148333333,"2024-07-11 19:19:00","night","AMETHYST",56,"iPad"
"Glide","Right",NA,"Night","","","Rock",NA,-72.4596616666667,42.3811468333333,"2024-07-11 19:25:00","night","AMETHYST",62,"iPad"
"Pool","Center",NA,"Night","","","Sand,Rock",NA,-72.4597331666667,42.3811583333333,"2024-07-11 19:26:00","night","AMETHYST",57,"iPad"
"Pool","Right",NA,"Night","","","Rock,Sand",NA,-72.459895,42.381253,"2024-07-11 19:28:00","night","AMETHYST",19,"iPad"
"Pool","Right",NA,"Night","","","Rock,Boulder",NA,-72.4598405,42.3812516666667,"2024-07-11 19:29:00","night","AMETHYST",18,"iPad"
"Riffle","Center",NA,"Night","","","Rock,Boulder",NA,-72.4599793333333,42.3812886666667,"2024-07-11 19:30:00","night","AMETHYST",14,"iPad"
"Pool","Left",NA,"Night","","","Rock",NA,-72.4602155,42.38107,"2024-07-11 19:32:00","night","AMETHYST",20,"iPad"
"Run","Center",NA,"Night","","","Boulder,Sand",NA,-72.4585,42.3820476666667,"2024-07-11 20:09:00","night","AMETHYST",60,"iPad"
"Pool","Center",NA,"Night","","","Sand,Rock",NA,-72.4596495,42.3813395,"2024-07-11 20:15:00","night","AMETHYST",56,"iPad"
