"date","trackedTime_EST","river","shift","radioID","power","lon","lat","source"
2024-06-11,2024-06-11 07:15:49,"AMETHYST","day",18,122,NA,NA,"receiver"
2024-06-11,2024-06-11 07:15:57,"AMETHYST","day",57,117,NA,NA,"receiver"
2024-06-11,2024-06-11 07:16:02,"AMETHYST","day",19,197,NA,NA,"receiver"
2024-06-11,2024-06-11 07:16:07,"AMETHYST","day",12,125,NA,NA,"receiver"
2024-06-11,2024-06-11 07:16:08,"AMETHYST","day",20,130,NA,NA,"receiver"
2024-06-11,2024-06-11 07:16:08,"AMETHYST","day",59,134,NA,NA,"receiver"
2024-06-11,2024-06-11 07:16:09,"AMETHYST","day",18,123,NA,NA,"receiver"
2024-06-11,2024-06-11 07:16:16,"AMETHYST","day",13,110,NA,NA,"receiver"
2024-06-11,2024-06-11 07:16:21,"AMETHYST","day",19,197,NA,NA,"receiver"
2024-06-11,2024-06-11 07:16:27,"AMETHYST","day",12,116,NA,NA,"receiver"
2024-06-11,2024-06-11 07:16:28,"AMETHYST","day",20,129,NA,NA,"receiver"
2024-06-11,2024-06-11 07:16:28,"AMETHYST","day",59,106,NA,NA,"receiver"
2024-06-11,2024-06-11 07:16:29,"AMETHYST","day",18,136,NA,NA,"receiver"
2024-06-11,2024-06-11 07:16:36,"AMETHYST","day",57,125,NA,NA,"receiver"
2024-06-11,2024-06-11 07:16:39,"AMETHYST","day",11,114,NA,NA,"receiver"
2024-06-11,2024-06-11 07:16:42,"AMETHYST","day",19,195,NA,NA,"receiver"
2024-06-11,2024-06-11 07:16:47,"AMETHYST","day",12,113,NA,NA,"receiver"
2024-06-11,2024-06-11 07:16:48,"AMETHYST","day",20,132,NA,NA,"receiver"
2024-06-11,2024-06-11 07:16:48,"AMETHYST","day",59,114,NA,NA,"receiver"
2024-06-11,2024-06-11 07:16:49,"AMETHYST","day",18,140,NA,NA,"receiver"
2024-06-11,2024-06-11 07:16:55,"AMETHYST","day",60,165,NA,NA,"receiver"
2024-06-11,2024-06-11 07:17:02,"AMETHYST","day",19,161,NA,NA,"receiver"
2024-06-11,2024-06-11 07:17:07,"AMETHYST","day",12,111,NA,NA,"receiver"
2024-06-11,2024-06-11 07:17:15,"AMETHYST","day",60,159,NA,NA,"receiver"
2024-06-11,2024-06-11 07:17:22,"AMETHYST","day",19,203,NA,NA,"receiver"
2024-06-11,2024-06-11 07:17:27,"AMETHYST","day",12,112,NA,NA,"receiver"
2024-06-11,2024-06-11 07:17:28,"AMETHYST","day",59,129,NA,NA,"receiver"
2024-06-11,2024-06-11 07:17:29,"AMETHYST","day",18,125,NA,NA,"receiver"
2024-06-11,2024-06-11 07:17:36,"AMETHYST","day",60,141,NA,NA,"receiver"
2024-06-11,2024-06-11 07:17:37,"AMETHYST","day",57,123,NA,NA,"receiver"
2024-06-11,2024-06-11 07:17:42,"AMETHYST","day",19,201,NA,NA,"receiver"
2024-06-11,2024-06-11 07:17:47,"AMETHYST","day",12,119,NA,NA,"receiver"
2024-06-11,2024-06-11 07:17:48,"AMETHYST","day",20,134,NA,NA,"receiver"
2024-06-11,2024-06-11 07:17:48,"AMETHYST","day",59,120,NA,NA,"receiver"
2024-06-11,2024-06-11 07:17:56,"AMETHYST","day",60,127,NA,NA,"receiver"
2024-06-11,2024-06-11 07:18:02,"AMETHYST","day",19,169,NA,NA,"receiver"
2024-06-11,2024-06-11 07:18:09,"AMETHYST","day",18,131,NA,NA,"receiver"
2024-06-11,2024-06-11 07:18:16,"AMETHYST","day",60,133,NA,NA,"receiver"
2024-06-11,2024-06-11 07:18:22,"AMETHYST","day",19,154,NA,NA,"receiver"
2024-06-11,2024-06-11 07:18:28,"AMETHYST","day",59,113,NA,NA,"receiver"
2024-06-11,2024-06-11 07:18:36,"AMETHYST","day",60,149,NA,NA,"receiver"
2024-06-11,2024-06-11 07:18:37,"AMETHYST","day",57,125,NA,NA,"receiver"
2024-06-11,2024-06-11 07:18:42,"AMETHYST","day",19,149,NA,NA,"receiver"
2024-06-11,2024-06-11 07:18:47,"AMETHYST","day",12,119,NA,NA,"receiver"
2024-06-11,2024-06-11 07:18:48,"AMETHYST","day",20,135,NA,NA,"receiver"
2024-06-11,2024-06-11 07:18:48,"AMETHYST","day",59,106,NA,NA,"receiver"
2024-06-11,2024-06-11 07:18:49,"AMETHYST","day",18,113,NA,NA,"receiver"
2024-06-11,2024-06-11 07:18:56,"AMETHYST","day",60,147,NA,NA,"receiver"
2024-06-11,2024-06-11 07:19:02,"AMETHYST","day",19,145,NA,NA,"receiver"
2024-06-11,2024-06-11 07:19:07,"AMETHYST","day",12,123,NA,NA,"receiver"
2024-06-11,2024-06-11 07:19:08,"AMETHYST","day",20,138,NA,NA,"receiver"
2024-06-11,2024-06-11 07:19:08,"AMETHYST","day",59,109,NA,NA,"receiver"
