"trackedTime_EST","river","shift","tagID","power","habitat","habitatExtra","position","substrate","substrateExtra","shade","lon","lat","fishNotes","source"
"2024-07-11 08:12:00","HARRIS","day",20,NA,"Run","","Center",NA,"Boulder","Fully shaded",-72.4602128333333,42.3810206666667,"","iPad"
"2024-07-11 09:27:00","BUFFAM","day",60,NA,"Riffle","","Center",NA,"Boulder","Fully shaded",-72.4584748333333,42.3820963333333,"","iPad"
"2024-07-11 09:32:00","BUFFAM","day",62,NA,"Pool","","Center",NA,"Boulder","Fully shaded",-72.4598398333333,42.3812335,"","iPad"
"2024-07-11 09:33:00","BUFFAM","day",56,NA,"Pool","","Center",NA,"Boulder","Fully shaded",-72.4598358333333,42.3812936666667,"","iPad"
"2024-07-11 09:33:00","BUFFAM","day",57,NA,"Pool","","Center",NA,"Boulder","Fully shaded",-72.4598481666667,42.3812721666667,"","iPad"
"2024-07-11 09:34:00","BUFFAM","day",18,NA,"Riffle","","Right",NA,"Rock","Fully shaded",-72.4598886666667,42.3811935,"","iPad"
"2024-07-11 09:34:00","BUFFAM","day",19,NA,"Riffle","","",NA,"Rock","Fully shaded",-72.4599461666667,42.3811926666667,"","iPad"
"2024-07-11 09:35:00","BUFFAM","day",14,NA,"Riffle","","Left",NA,"Rock","Mostly shaded",-72.4599976666667,42.381233,"","iPad"
"2024-07-11 09:36:00","HARRIS","day",20,NA,"Run","","Center",NA,"Rock","Mostly shaded",-72.4603595,42.3810713333333,"","iPad"
"2024-07-11 10:37:00","BUFFAM","day",60,NA,"Run","","Center",NA,"Rock,Granule","Mostly shaded",-72.4585848333333,42.3820113333333,"","iPad"
"2024-07-11 11:04:00","BUFFAM","day",56,NA,"Pool","","Center",NA,"Rock","Fully shaded",-72.4597588333333,42.3811346666667,"","iPad"
"2024-07-11 11:05:00","BUFFAM","day",62,NA,"Pool","","Center",NA,"Rock","Fully shaded",-72.459779,42.3811236666667,"","iPad"
"2024-07-11 11:08:00","BUFFAM","day",57,NA,"Pool","","Center",NA,"Rock","Fully shaded",-72.4597575,42.3811876666667,"","iPad"
"2024-07-11 11:09:00","BUFFAM","day",18,NA,"Run","","Center",NA,"Rock","Fully shaded",-72.4599165,42.3812803333333,"","iPad"
"2024-07-11 11:09:00","BUFFAM","day",19,NA,"Run","","Center",NA,"Rock","Lightly shaded",-72.459939,42.3813058333333,"","iPad"
"2024-07-11 11:11:00","BUFFAM","day",14,NA,"Run","","Center",NA,"Rock","Mostly shaded",-72.4599038333333,42.3813236666667,"","iPad"
"2024-07-11 11:15:00","HARRIS","day",20,NA,"Pool","","Center",NA,"Rock","Fully shaded",-72.46038,42.3815073333333,"","iPad"
"2024-07-11 11:59:00","BUFFAM","day",57,NA,"Pool","","Center",NA,"Rock","Lightly shaded",-72.4597025,42.3810926666667,"","iPad"
"2024-07-11 12:00:00","BUFFAM","day",62,NA,"Pool","","Center",NA,"Rock","Lightly shaded",-72.4596821666667,42.3810283333333,"","iPad"
"2024-07-11 12:08:00","BUFFAM","day",56,NA,"Pool","","Center",NA,"Rock,Sand","Mostly shaded",-72.4597258333333,42.3812533333333,"","iPad"
"2024-07-11 12:14:00","BUFFAM","day",18,NA,"Run","","Left",NA,"Rock","Fully shaded",-72.460054,42.3812626666667,"","iPad"
"2024-07-11 12:16:00","BUFFAM","day",14,NA,"Run","","Center",NA,"Rock","Mostly shaded",-72.4598431666667,42.3813761666667,"","iPad"
"2024-07-11 12:17:00","BUFFAM","day",19,NA,"Run","","Center",NA,"Rock","Fully shaded",-72.4598378333333,42.3812716666667,"","iPad"
"2024-07-11 12:20:00","HARRIS","day",20,NA,"Run","","Center",NA,"Rock","Fully shaded",-72.4602428333333,42.3814158333333,"","iPad"
"2024-07-11 12:24:00","BUFFAM","day",60,NA,"Riffle","","Center",NA,"Rock,Boulder","Fully shaded",-72.45842,42.3819908333333,"","iPad"
"2024-07-11 17:31:00","BUFFAM","night",60,NA,"Pool","","Left",NA,"Sand,Rock","Fully shaded",-72.4584763333333,42.3820738333333,"","iPad"
"2024-07-11 17:36:00","BUFFAM","night",62,NA,"Riffle","","Right",NA,"Rock","Fully shaded",-72.4596768333333,42.3810643333333,"","iPad"
"2024-07-11 17:38:00","BUFFAM","night",56,NA,"Pool","","Center",NA,"Sand,Boulder","Fully shaded",-72.4596568333333,42.3810135,"","iPad"
"2024-07-11 17:39:00","BUFFAM","night",57,NA,"Pool","","Center",NA,"Sand,Boulder","Fully shaded",-72.4597036666667,42.3811015,"","iPad"
"2024-07-11 17:42:00","BUFFAM","night",19,NA,"Pool","","Right",NA,"Sand,Boulder","Fully shaded",-72.4598786666667,42.3812691666667,"","iPad"
"2024-07-11 17:43:00","BUFFAM","night",18,NA,"Pool","","Center",NA,"Rock,Boulder","Fully shaded",-72.4599526666667,42.3812611666667,"","iPad"
"2024-07-11 17:44:00","BUFFAM","night",14,NA,"Riffle","","Center",NA,"Rock,Boulder","Fully shaded",-72.460032,42.3812821666667,"","iPad"
"2024-07-11 17:47:00","HARRIS","night",20,NA,"Glide","","Left",NA,"Boulder","Fully shaded",-72.4602256666667,42.3812171666667,"","iPad"
"2024-07-11 18:27:00","BUFFAM","night",60,NA,"Pool","","Left",NA,"Sand,Boulder","Fully shaded",-72.458446,42.3821656666667,"","iPad"
"2024-07-11 18:35:00","BUFFAM","night",19,NA,"Pool","","Right",NA,"Boulder,Pebble","Fully shaded",-72.4599265,42.381274,"","iPad"
"2024-07-11 18:36:00","BUFFAM","night",18,NA,"Pool","","Right",NA,"Boulder","Fully shaded",-72.4599218333333,42.3812581666667,"","iPad"
"2024-07-11 18:37:00","BUFFAM","night",14,NA,"Riffle","","Center",NA,"Rock,Boulder","Fully shaded",-72.4599511666667,42.3812801666667,"","iPad"
"2024-07-11 18:39:00","HARRIS","night",20,NA,"Glide","","Left",NA,"Boulder","",-72.460272,42.3811526666667,"","iPad"
"2024-07-11 18:43:00","BUFFAM","night",57,NA,"Pool","","Center",NA,"Sand,Boulder","Fully shaded",-72.4596028333333,42.3812081666667,"","iPad"
