"trackedTime_EST","radioID","has_matching_receiver"
2024-07-01 07:41:00,"38",TRUE
2024-07-01 08:08:00,"31",TRUE
2024-07-01 08:11:00,"26",TRUE
2024-07-01 08:12:00,"37",TRUE
2024-07-01 08:13:00,"32",TRUE
2024-07-01 08:22:00,"38",TRUE
2024-07-01 13:53:00,"31",TRUE
2024-07-01 13:56:00,"28",TRUE
2024-07-01 14:01:00,"37",TRUE
2024-07-01 14:02:00,"32",TRUE
2024-07-01 14:03:00,"26",TRUE
2024-07-01 14:45:00,"31",TRUE
2024-07-01 14:47:00,"28",TRUE
2024-07-01 14:49:00,"26",TRUE
2024-07-01 14:50:00,"32",TRUE
2024-07-01 14:50:00,"37",TRUE
2024-07-01 14:56:00,"29",FALSE
2024-07-01 15:41:00,"38",TRUE
2024-07-01 16:26:00,"31",TRUE
2024-07-01 16:30:00,"28",TRUE
2024-07-01 16:32:00,"26",TRUE
2024-07-01 16:33:00,"32",TRUE
2024-07-01 16:33:00,"37",TRUE
2024-07-01 16:41:00,"38",FALSE
2024-07-01 17:21:00,"31",FALSE
2024-07-01 17:24:00,"28",FALSE
2024-07-01 17:25:00,"26",FALSE
2024-07-01 17:27:00,"32",FALSE
2024-07-01 17:28:00,"37",FALSE
2024-07-01 17:36:00,"38",FALSE
2024-07-02 03:31:00,"60",TRUE
2024-07-02 03:44:00,"57",TRUE
2024-07-02 03:45:00,"62",TRUE
2024-07-02 03:53:00,"19",TRUE
2024-07-02 03:54:00,"18",TRUE
2024-07-02 04:06:00,"14",TRUE
2024-07-02 04:11:00,"56",TRUE
2024-07-02 04:17:00,"20",TRUE
2024-07-02 04:55:00,"61",TRUE
2024-07-02 05:27:00,"60",TRUE
2024-07-02 05:43:00,"57",TRUE
2024-07-02 05:47:00,"62",TRUE
2024-07-02 05:53:00,"18",TRUE
2024-07-02 05:54:00,"19",TRUE
2024-07-02 05:56:00,"14",TRUE
2024-07-02 05:58:00,"56",TRUE
2024-07-02 06:05:00,"20",TRUE
2024-07-02 06:23:00,"61",TRUE
2024-07-02 07:10:00,"60",TRUE
2024-07-02 07:30:00,"62",TRUE
2024-07-02 07:31:00,"57",TRUE
2024-07-02 07:50:00,"18",TRUE
2024-07-02 07:51:00,"19",TRUE
2024-07-02 07:53:00,"14",TRUE
2024-07-02 07:59:00,"56",TRUE
2024-07-02 08:39:00,"20",TRUE
2024-07-02 08:51:00,"61",TRUE
2024-07-02 13:10:00,"57",TRUE
2024-07-02 13:15:00,"62",TRUE
2024-07-02 13:21:00,"60",TRUE
2024-07-02 13:46:00,"18",TRUE
2024-07-02 13:47:00,"19",TRUE
2024-07-02 13:54:00,"14",TRUE
2024-07-02 14:01:00,"56",TRUE
2024-07-02 14:04:00,"20",TRUE
2024-07-02 14:27:00,"61",TRUE
2024-07-02 14:45:00,"60",TRUE
2024-07-02 14:51:00,"57",TRUE
